id,uniprot,gene
tr|C5X1F2|C5X1F2_SORBI,C5X1F2,SORBI_01g021470
tr|C5Z5I1|C5Z5I1_SORBI,C5Z5I1,SORBI_10g005630
tr|C5Z5V5|C5Z5V5_SORBI,C5Z5V5,SORBI_10g005950
tr|C5WV46|C5WV46_SORBI,C5WV46,SORBI_01g003490
tr|C5WRW8|C5WRW8_SORBI,C5WRW8,SORBI_01g000490
tr|C5XGT9|C5XGT9_SORBI,C5XGT9,SORBI_03g031500
tr|C5XTS6|C5XTS6_SORBI,C5XTS6,SORBI_04g002440
tr|C5Z227|C5Z227_SORBI,C5Z227,SORBI_10g000350
tr|C5X9D5|C5X9D5_SORBI,C5X9D5,SORBI_02g034300
tr|C5Z2D0|C5Z2D0_SORBI,C5Z2D0,SORBI_10g014041
tr|C5YZJ5|C5YZJ5_SORBI,C5YZJ5,SORBI_09g002850
tr|C5YZ00|C5YZ00_SORBI,C5YZ00,SORBI_09g001910
tr|C5XJE7|C5XJE7_SORBI,C5XJE7,SORBI_03g047410
tr|C5X7D6|C5X7D6_SORBI,C5X7D6,SORBI_02g014260
tr|C5Z684|C5Z684_SORBI,C5Z684,SORBI_10g024630
tr|C5Z009|C5Z009_SORBI,C5Z009,SORBI_09g003510
tr|C5XRJ6|C5XRJ6_SORBI,C5XRJ6,SORBI_04g000580
tr|C5WTL6|C5WTL6_SORBI,C5WTL6,SORBI_04g031620
tr|C5Z425|C5Z425_SORBI,C5Z425,SORBI_10g021150
tr|C5XJD6|C5XJD6_SORBI,C5XJD6,SORBI_03g047300
tr|C5X5P4|C5X5P4_SORBI,C5X5P4,SORBI_02g043220
tr|C5XQD5|C5XQD5_SORBI,C5XQD5,SORBI_03g027400
tr|C5X428|C5X428_SORBI,C5X428,SORBI_02g041350
tr|C5XY05|C5XY05_SORBI,C5XY05,SORBI_04g007380
tr|C5WXR7|C5WXR7_SORBI,C5WXR7,SORBI_01g033750
tr|C5WXU5|C5WXU5_SORBI,C5WXU5,SORBI_01g046740
tr|C5YEH4|C5YEH4_SORBI,C5YEH4,SORBI_06g026260
tr|C5XM91|C5XM91_SORBI,C5XM91,SORBI_03g023240
tr|C5YF36|C5YF36_SORBI,C5YF36,SORBI_06g027270
tr|C5YSY6|C5YSY6_SORBI,C5YSY6,SORBI_08g022740
tr|C5X070|C5X070_SORBI,C5X070,SORBI_01g007540
tr|C5X9M2|C5X9M2_SORBI,C5X9M2,SORBI_02g003270
tr|C5Y5I9|C5Y5I9_SORBI,C5Y5I9,SORBI_05g004100
tr|C5WT74|C5WT74_SORBI,C5WT74,SORBI_01g014970
tr|C5XI77|C5XI77_SORBI,C5XI77,SORBI_03g032630
tr|C5Y4G9|C5Y4G9_SORBI,C5Y4G9,SORBI_05g002570
tr|C5WZ95|C5WZ95_SORBI,C5WZ95,SORBI_01g007000
tr|C5X4H4|C5X4H4_SORBI,C5X4H4,SORBI_02g028580
tr|C5Y5P6|C5Y5P6_SORBI,C5Y5P6,SORBI_05g004510
tr|C5X6A0|C5X6A0_SORBI,C5X6A0,SORBI_02g043440
tr|C6JRK3|C6JRK3_SORBI,C6JRK3,SORBI_0010s015060
tr|C5XHF2|C5XHF2_SORBI,C5XHF2,SORBI_03g031760
tr|C5Z8Z8|C5Z8Z8_SORBI,C5Z8Z8,SORBI_10g010710
tr|C5XKF6|C5XKF6_SORBI,C5XKF6,SORBI_03g001630
tr|C5YYR1|C5YYR1_SORBI,C5YYR1,SORBI_09g021660
tr|C5XXC1|C5XXC1_SORBI,C5XXC1,SORBI_04g025800
tr|C5YWE2|C5YWE2_SORBI,C5YWE2,SORBI_09g029520
tr|C5XRK6|C5XRK6_SORBI,C5XRK6,SORBI_04g000650
tr|C5YQN5|C5YQN5_SORBI,C5YQN5,SORBI_08g001540
tr|C5YWC5|C5YWC5_SORBI,C5YWC5,SORBI_09g016610
